"idx","scalebar_px","scalebar_mi","mi_per_px","crop_w_px","crop_h_px","res","fpf","path","source_id"
"108","33.859","1","0.029534245","208","182","37856","30.6","./Particles/Particles_00076.png","SRC_0063"
"109","33.859","1","0.029534245","208","168","34944","64.93","./Particles/Particles_00077.png","SRC_0063"
"110","53.378","1","0.01873431","339","317","107463","85.14","./Particles/Particles_00078.png","SRC_0063"
"111","53.497","1","0.018692637","324","253","81972","47.82","./Particles/Particles_00079.png","SRC_0063"
"459","172.64","10","0.057924004","23","23","529","59.47","./Particles/Particles_00557.png","SRC_0021"
"459","172.64","10","0.057924004","24","25","600","59.47","./Particles/Particles_00558.png","SRC_0021"
"459","172.64","10","0.057924004","21","29","609","59.47","./Particles/Particles_00559.png","SRC_0021"
"459","172.64","10","0.057924004","27","24","648","59.47","./Particles/Particles_00560.png","SRC_0021"
"459","172.64","10","0.057924004","27","29","783","59.47","./Particles/Particles_00561.png","SRC_0021"
"459","172.64","10","0.057924004","29","31","899","59.47","./Particles/Particles_00562.png","SRC_0021"
"459","172.64","10","0.057924004","32","31","992","59.47","./Particles/Particles_00563.png","SRC_0021"
"459","172.64","10","0.057924004","32","34","1088","59.47","./Particles/Particles_00564.png","SRC_0021"
"459","172.64","10","0.057924004","31","36","1116","59.47","./Particles/Particles_00565.png","SRC_0021"
"459","172.64","10","0.057924004","34","35","1190","59.47","./Particles/Particles_00566.png","SRC_0021"
"459","172.64","10","0.057924004","36","34","1224","59.47","./Particles/Particles_00567.png","SRC_0021"
"459","172.64","10","0.057924004","35","35","1225","59.47","./Particles/Particles_00568.png","SRC_0021"
"459","172.64","10","0.057924004","38","37","1406","59.47","./Particles/Particles_00569.png","SRC_0021"
"459","172.64","10","0.057924004","41","39","1599","59.47","./Particles/Particles_00570.png","SRC_0021"
"459","172.64","10","0.057924004","43","45","1935","59.47","./Particles/Particles_00571.png","SRC_0021"
"459","172.64","10","0.057924004","44","45","1980","59.47","./Particles/Particles_00572.png","SRC_0021"
"459","172.64","10","0.057924004","48","42","2016","59.47","./Particles/Particles_00573.png","SRC_0021"
"459","172.64","10","0.057924004","57","52","2964","59.47","./Particles/Particles_00574.png","SRC_0021"
"459","172.64","10","0.057924004","59","51","3009","59.47","./Particles/Particles_00575.png","SRC_0021"
"459","172.64","10","0.057924004","68","55","3740","59.47","./Particles/Particles_00576.png","SRC_0021"
"459","172.64","10","0.057924004","65","62","4030","59.47","./Particles/Particles_00577.png","SRC_0021"
"459","172.64","10","0.057924004","70","63","4410","59.47","./Particles/Particles_00578.png","SRC_0021"
"464","102.556","10","0.097507703","24","26","624","69.5","./Particles/Particles_00579.png","SRC_0022"
"464","102.556","10","0.097507703","32","35","1120","69.5","./Particles/Particles_00580.png","SRC_0022"
"464","102.556","10","0.097507703","45","39","1755","69.5","./Particles/Particles_00581.png","SRC_0022"
"469","242.449","4","0.016498315","63","49","3087","27.86","./Particles/Particles_00582.png","SRC_0023"
"469","242.449","4","0.016498315","66","48","3168","27.86","./Particles/Particles_00583.png","SRC_0023"
"469","242.449","4","0.016498315","77","63","4851","27.86","./Particles/Particles_00584.png","SRC_0023"
"469","242.449","4","0.016498315","81","68","5508","27.86","./Particles/Particles_00585.png","SRC_0023"
"469","242.449","4","0.016498315","101","81","8181","27.86","./Particles/Particles_00586.png","SRC_0023"
"469","242.449","4","0.016498315","101","82","8282","27.86","./Particles/Particles_00587.png","SRC_0023"
"469","242.449","4","0.016498315","101","82","8282","27.86","./Particles/Particles_00588.png","SRC_0023"
"469","242.449","4","0.016498315","121","94","11374","27.86","./Particles/Particles_00589.png","SRC_0023"
"477","191.94","4","0.020839846","45","38","1710","52","./Particles/Particles_00590.png","SRC_0023"
"477","191.94","4","0.020839846","52","40","2080","52","./Particles/Particles_00591.png","SRC_0023"
"477","191.94","4","0.020839846","53","45","2385","52","./Particles/Particles_00592.png","SRC_0023"
"477","191.94","4","0.020839846","56","45","2520","52","./Particles/Particles_00593.png","SRC_0023"
"477","191.94","4","0.020839846","55","54","2970","52","./Particles/Particles_00594.png","SRC_0023"
"477","191.94","4","0.020839846","60","54","3240","52","./Particles/Particles_00595.png","SRC_0023"
"477","191.94","4","0.020839846","76","69","5244","52","./Particles/Particles_00596.png","SRC_0023"
"479","125.625","10","0.07960199","33","31","1023","50.59","./Particles/Particles_00597.png","SRC_0023"
"479","125.625","10","0.07960199","51","39","1989","50.59","./Particles/Particles_00598.png","SRC_0023"
"479","177.034","4","0.02259453","45","48","2160","50.59","./Particles/Particles_00599.png","SRC_0023"
"479","177.034","4","0.02259453","55","41","2255","50.59","./Particles/Particles_00600.png","SRC_0023"
"479","177.034","4","0.02259453","62","52","3224","50.59","./Particles/Particles_00601.png","SRC_0023"
"479","177.034","4","0.02259453","71","47","3337","50.59","./Particles/Particles_00602.png","SRC_0023"
"479","177.034","4","0.02259453","69","66","4554","50.59","./Particles/Particles_00603.png","SRC_0023"
"481","170.077","4","0.023518759","48","36","1728","53.07","./Particles/Particles_00604.png","SRC_0023"
"481","170.077","4","0.023518759","51","43","2193","53.07","./Particles/Particles_00605.png","SRC_0023"
"481","170.077","4","0.023518759","55","46","2530","53.07","./Particles/Particles_00606.png","SRC_0023"
"481","170.077","4","0.023518759","59","43","2537","53.07","./Particles/Particles_00607.png","SRC_0023"
"483","162.38","4","0.024633576","50","44","2200","45.92","./Particles/Particles_00608.png","SRC_0023"
"483","162.38","4","0.024633576","55","44","2420","45.92","./Particles/Particles_00609.png","SRC_0023"
"483","162.38","4","0.024633576","72","62","4464","45.92","./Particles/Particles_00610.png","SRC_0023"
"483","162.38","4","0.024633576","93","61","5673","45.92","./Particles/Particles_00611.png","SRC_0023"
"489","128.573","100","0.777768272","281","401","112681","17.4","./Particles/Particles_00625.png","SRC_0062"
"490","128.965","100","0.775404179","388","423","164124","32.5","./Particles/Particles_00626.png","SRC_0062"
"493","104.723","100","0.95490007","448","381","170688","56.3","./Particles/Particles_00627.png","SRC_0062"
"495","104.908","100","0.953216151","459","399","183141","7.6","./Particles/Particles_00628.png","SRC_0062"
"496","103.001","100","0.970864361","443","390","172770","36.9","./Particles/Particles_00629.png","SRC_0062"
"497","105.706","100","0.946020093","305","341","104005","32.4","./Particles/Particles_00630.png","SRC_0062"
"499","105.242","100","0.950190988","471","322","151662","29.4","./Particles/Particles_00631.png","SRC_0062"
"501","110.005","50","0.454524794","85","59","5015","16.3","./Particles/Particles_00632.png","SRC_0062"
"501","107.869","50","0.463525202","81","72","5832","16.3","./Particles/Particles_00633.png","SRC_0062"
"501","110.005","50","0.454524794","95","80","7600","16.3","./Particles/Particles_00634.png","SRC_0062"
"501","107.869","50","0.463525202","108","71","7668","16.3","./Particles/Particles_00635.png","SRC_0062"
"501","110.005","50","0.454524794","116","105","12180","16.3","./Particles/Particles_00636.png","SRC_0062"
"501","107.869","50","0.463525202","114","114","12996","16.3","./Particles/Particles_00637.png","SRC_0062"
"502","165.304","10","0.060494604","52","46","2392","65.61","./Particles/Particles_00638.png","SRC_0028"
"502","165.304","10","0.060494604","47","51","2397","65.61","./Particles/Particles_00639.png","SRC_0028"
"502","165.304","10","0.060494604","58","43","2494","65.61","./Particles/Particles_00640.png","SRC_0028"
"502","165.304","10","0.060494604","43","59","2537","65.61","./Particles/Particles_00641.png","SRC_0028"
"502","165.304","10","0.060494604","53","50","2650","65.61","./Particles/Particles_00642.png","SRC_0028"
"502","165.304","10","0.060494604","52","51","2652","65.61","./Particles/Particles_00643.png","SRC_0028"
"502","165.304","10","0.060494604","58","49","2842","65.61","./Particles/Particles_00644.png","SRC_0028"
"502","165.304","10","0.060494604","58","55","3190","65.61","./Particles/Particles_00645.png","SRC_0028"
"502","165.304","10","0.060494604","49","66","3234","65.61","./Particles/Particles_00646.png","SRC_0028"
"502","165.304","10","0.060494604","62","56","3472","65.61","./Particles/Particles_00647.png","SRC_0028"
"502","165.304","10","0.060494604","59","59","3481","65.61","./Particles/Particles_00648.png","SRC_0028"
"502","165.304","10","0.060494604","62","62","3844","65.61","./Particles/Particles_00649.png","SRC_0028"
"502","165.304","10","0.060494604","62","78","4836","65.61","./Particles/Particles_00650.png","SRC_0028"
"502","165.304","10","0.060494604","83","65","5395","65.61","./Particles/Particles_00651.png","SRC_0028"
"502","165.304","10","0.060494604","67","84","5628","65.61","./Particles/Particles_00652.png","SRC_0028"
"502","165.304","10","0.060494604","74","77","5698","65.61","./Particles/Particles_00653.png","SRC_0028"
"503","181.537","4","0.022034076","56","46","2576","54.17","./Particles/Particles_00654.png","SRC_0068"
"503","181.537","4","0.022034076","75","72","5400","54.17","./Particles/Particles_00655.png","SRC_0068"
"503","181.537","4","0.022034076","71","83","5893","54.17","./Particles/Particles_00656.png","SRC_0068"
"503","181.537","4","0.022034076","92","87","8004","54.17","./Particles/Particles_00657.png","SRC_0068"
"503","181.537","4","0.022034076","94","90","8460","54.17","./Particles/Particles_00658.png","SRC_0068"
"503","181.537","4","0.022034076","89","108","9612","54.17","./Particles/Particles_00659.png","SRC_0068"
"503","181.537","4","0.022034076","103","94","9682","54.17","./Particles/Particles_00660.png","SRC_0068"
"503","181.537","4","0.022034076","97","109","10573","54.17","./Particles/Particles_00661.png","SRC_0068"
"503","181.537","4","0.022034076","112","96","10752","54.17","./Particles/Particles_00662.png","SRC_0068"
